Country,Forest Area 1990,Forest Area 2015,Pct Forest Area 2015
Afghanistan,13500,13500,2.069821995
Albania,7888,7715,28.15693431
Algeria,16670,19560,0.821248331
American Samoa,183.88,175.43,87.715
Andorra,160,160,34.04255319
Angola,609760,578560,46.40731531
Anguilla,55,55,61.11111111
Antigua and Barbuda,103,98,22.27272727
Argentina,347930,271120,9.906858285
Armenia,3350,3320,11.77304965
Aruba,4.2,4.2,2.333333333
Australia,1285410,1247510,16.23875662
Austria,37760,38690,46.93394796
Azerbaijan,8518,11394,13.78450967
Bahamas,5150,5150,51.44855145
Bahrain,2.16,6.04,0.794736842
Bangladesh,14940,14290,10.97795191
Barbados,63,63,14.65116279
Belarus,77800,86335,41.61123964
Belgium,6774,6834,22.57084352
Belize,16160.27,13663,59.89916703
Benin,57610,43110,38.97125294
Bermuda,10,10,20
Bhutan,25067.14,27549.35,72.26807761
Bolivia (Plurinational State of),627950,547640,50.55294009
Bosnia and Herzegovina,22100,21850,42.84313725
Botswana,137180,108400,19.12727401
Brazil,5467050,4935380,59.04878358
British Virgin Islands,37.1,36.2,24.13333333
Brunei Darussalam,4130,3800,72.10626186
Bulgaria,33270,38230,35.21554901
Burkina Faso,68470,53500,19.55409357
Burundi,2890,2760,10.74766355
Cabo Verde,577.5,899.03,22.30843672
Cambodia,129440,94570,53.57466576
Cameroon,243160,188160,39.80453132
Canada,3482730,3470690,38.16667052
Cayman Islands,127,127,52.91666667
Central African Republic,225600,221700,35.58701724
Chad,67050,48750,3.871505718
Chile,152630,177350,23.85236629
China,1571406,2083213,22.10235218
Colombia,644170,585017.4,52.72802163
Comoros,490,370,19.89247312
Congo,227260,223340,65.39970717
Cook Islands,144,151,63.98305085
Costa Rica,25640,27560,53.97571485
Cote d'Ivoire,102220,104010,32.70754717
Croatia,18500,19220,34.3459614
Cuba,20580,32000,30.06388576
Cyprus,1611.1,1727,18.68744251
Czech Republic,26290,26670,34.53768454
Democratic People's Republic of Korea,82010,50310,41.782244
Democratic Republic of the Congo,1603630,1525780,67.3024415
Denmark,5432,6122,14.42847042
Djibouti,56,56,0.241629272
Dominica,500,433.3,57.77333333
Dominican Republic,11050,19830,41.03890728
Ecuador,146308.5,125478.8,50.52293445
Egypt,440,730,0.073333668
El Salvador,3770,2650,12.78957529
Equatorial Guinea,18600,15680,55.90017825
Eritrea,16210,15100,14.95049505
Estonia,22060,22320,52.65392781
Ethiopia,151140,124990,11.40097235
Faeroe Islands,0.83,0.83,0.059841384
Falkland Islands (Malvinas),0,0,0
Fiji,9529,10171.95,55.67569787
Finland,218750,222180,73.10957552
France,144360,169890,31.02107147
French Guiana,82180,81300,98.64110653
French Polynesia,550,1550,42.34972678
Gabon,220000,230000,89.26145845
Gambia,4420,4880,48.8
Georgia,27523,28224,40.61591596
Germany,113000,114190,32.75580161
Ghana,86270,93370,41.03454338
Gibraltar,0,0,0
Greece,32990,40540,31.45073701
Greenland,2.2,2.2,0.000535997
Grenada,169.9,169.9,49.97058824
Guadeloupe,732.26,714.96,42.53182629
Guam,250,250,46.2962963
Guatemala,47480,35400,33.03471445
Guernsey,2,2,2.564102564
Guinea,72640,63640,25.89939769
Guinea-Bissau,22160,19720,70.12802276
Guyana,166600,165260,83.9522479
Haiti,1160,970,3.519593614
Holy See,0,0,0
Honduras,81360,45920,41.04030744
Hungary,18010,20690,22.66900405
Iceland,161,492,0.490773067
India,639390,706820,23.77311911
Indonesia,1185450,910100,52.95681875
Iran (Islamic Republic of),90760.58,106919.8,5.785503112
Iraq,8040,8250,1.89952109
Ireland,4650.02,7540.16,10.94521701
Isle of Man,34.6,34.6,6.063792499
Israel,1320,1650,7.624768946
Italy,75900,92970,31.60739784
Jamaica,3446,3352,30.95106187
Japan,249500,249580,68.47187929
Jersey,6,6,5.217391304
Jordan,975,975,1.09822032
Kazakhstan,34220,33090,1.225691744
Kenya,47240,44130,7.753803985
Kiribati,121.5,121.5,15
Kuwait,34.5,62.5,0.350729517
Kyrgyzstan,8364,6370,3.332287089
Lao People's Democratic Republic,176449,187614.1,81.28860485
Latvia,31730,33560,53.95498392
Lebanon,1310,1373,13.42130987
Lesotho,400,490,1.614497529
Liberia,49290,41790,43.38662791
Libya,2170,2170,0.123327688
Liechtenstein,65,69,43.125
Lithuania,19450,21800,34.7826087
Luxembourg,858,867,33.47490347
Madagascar,136920,124730,21.44822368
Malawi,38960,31470,33.37929571
Malaysia,223760,221950,67.55440572
Maldives,10,10,3.333333333
Mali,66900,47150,3.864152304
Malta,3.47,3.47,1.084375
