State,Population estimate July 1 2015,Census population April 1 2010,Total seats in House of Representatives 2013-2023
California,39144818,37254503,53
Texas,27469114,25146105,36
Florida,20271272,18804623,27
New York,19795791,19378087,27
Illinois,12859995,12831549,18
Pennsylvania,12802503,12702887,18
Ohio,11613423,11536725,16
Georgia,10214860,9688681,14
North Carolina,10042802,9535692,13
Michigan,9922576,9884129,14
New Jersey,8958013,8791936,12
Virginia,8382993,8001045,11
Washington,7170351,6724543,10
Arizona,6828065,6392307,9
Massachusetts,6794422,6547817,9
Indiana,6619680,6484229,9
Tennessee,6600299,6346275,9
Missouri,6083672,5988927,8
Maryland,6006401,5773785,8
Wisconsin,5771337,5687289,8
Minnesota,5489594,5303925,8
Colorado,5456574,5029324,7
South Carolina,4896146,4625401,7
Alabama,4858979,4780127,7
Louisiana,4670724,4533479,6
Kentucky,4425092,4339349,6
Oregon,4028977,3831073,5
Oklahoma,3911338,3751616,5
Connecticut,3590886,3574118,5
Iowa,3123899,3046869,4
Utah,2995919,2763888,4
Mississippi,2992333,2968103,4
Arkansas,2978204,2915958,4
Kansas,2911641,2853132,4
Nevada,2890845,2700691,4
New Mexico,2085109,2059192,3
Nebraska,1896190,1826341,3
West Virginia,1844128,1853011,3
Idaho,1654930,1567652,2
Hawaii,1431603,1360301,2
New Hampshire,1330608,1316466,2
Maine,1329328,1328361,2
Rhode Island,1056298,1052931,2
Montana,1032949,989417,1
Delaware,945934,897936,1
South Dakota,858469,814191,1
North Dakota,756927,672591,1
Alaska,738432,710249,1
Vermont,626042,625745,1
Wyoming,586107,563767,1
