Country,Population (Millions),Surface Area,Gross national income
Afghanistan,32.5,652.9,20.4
Albania,2.9,28.8,12.4
Algeria,39.7,2381.7,193
Andorra,0.1,0.5,3.3
Angola,25,1246.7,104.5
Antigua and Barbuda,0.1,0.4,1.2
Argentina,43.4,2780.4,541.1
Armenia,3,29.7,11.7
Australia,23.8,7741.2,1428.6
Austria,8.6,83.9,405.7
Azerbaijan,9.7,86.6,63.3
Bahamas,0.4,13.9,8.3
Bahrain,1.4,0.8,28
Bangladesh,161,148.5,191.3
Barbados,0.3,0.4,4.2
Belarus,9.5,207.6,61.4
Belgium,11.3,30.5,500.6
Belize,0.4,23,1.6
Benin,10.9,114.8,9.4
Bermuda,0.1,0.1,6.9
Bhutan,0.8,38.4,1.8
Bolivia,10.7,1098.6,33
Bosnia and Herzegovina,3.8,51.2,17.8
Botswana,2.3,581.7,14.7
Brazil,207.8,8515.8,2047.1
Bulgaria,7.2,111,51.8
Burkina Faso,18.1,274.2,12
Burundi,11.2,27.8,2.9
Cambodia,15.6,181,16.7
Cameroon,23.3,475.4,31.1
Canada,35.9,9984.7,1702.9
Cabo Verde,0.5,4,1.7
Central African Republic,4.9,623,1.6
Chad,14,1284,12.3
Chile,17.9,756.1,252.4
China,1371.2,9562.9,10724
Hong Kong SAR,7.3,1.1,299.5
Colombia,48.2,1141.7,344.1
Comoros,0.8,1.9,0.6
Congo (Dem. Rep.),77.3,2344.9,31.8
Congo,4.6,342,11.7
Costa Rica,4.8,51.1,49.1
Cote d'Ivoire,22.7,322.5,32.1
Croatia,4.2,56.6,53.6
Cyprus,1.2,9.3,21.8
Czech Republic,10.6,78.9,190.5
Denmark,5.7,43.1,332.6
Dominica,0.1,0.8,0.5
Dominican Republic,10.5,48.7,64.5
Ecuador,16.1,256.4,97.1
Egypt,91.5,1001.5,305.9
El Salvador,6.1,21,24.1
Equatorial Guinea,0.8,28.1,6.6
Estonia,1.3,45.2,24.2
Ethiopia,99.4,1104.3,58.9
Fiji,0.9,18.3,4.3
Finland,5.5,338.4,254.2
France,66.8,549.1,2711.4
Gabon,1.7,267.7,15.9
Gambia,2,11.3,0.9
Georgia,3.7,69.7,15.3
Germany,81.4,357.2,3727.8
Ghana,27.4,238.5,40.6
Greece,10.8,132,219.6
Grenada,0.1,0.3,0.9
Guatemala,16.3,108.9,58.6
Guinea,12.6,245.9,6
Guinea-Bissau,1.8,36.1,1.1
Guyana,0.8,215,3.1
Haiti,10.7,27.8,8.8
Honduras,8.1,112.5,18.4
Hungary,9.8,93,127.9
Iceland,0.3,103,16.5
India,1311.1,3287.3,2084.4
Indonesia,257.6,1910.9,887
Iran,79.1,1745.2,511.8
Iraq,36.4,435.2,202
Ireland,4.6,70.3,216.6
