Code,Name,City,Latitude,Longitude
4I7,Putnam County Airport,Greencastle,39.6335556,-86.8138056
C91,Dowagiac Municipal Airport,Dowagiac,41.9929342,-86.1280125
CDI,Cambridge Municipal Airport,Cambridge,39.9750278,-81.5775833
SUE,Door County Cherryland Airport,Sturgeon Bay,44.8436667,-87.4215556
0P2,Shoestring Aviation Airfield,Stewartstown,39.7948244,-76.6471914
PDT,Eastern Oregon Regional Airport,Pendleton,45.695,-118.841389
TYE,Tyonek Airport,Tyonek,61.076667,-151.138056
RIW,Riverton Regional,Riverton WY,43.064167,-108.459722
MTJ,Montrose Regional Airport,Montrose CO,38.509794,-107.894242
1CS,Clow International Airport,Bolingbrook,41.6959744,-88.1292306
ENW,Kenosha Regional Airport,Kenosha,42.5956944,-87.9278056
VGT,North Las Vegas Airport,Las Vegas,36.2106944,-115.1944444
C02,Grand Geneva Resort Airport,Lake Geneva,42.6149167,-88.3895833
DKB,De Kalb Taylor Municipal Airport,De Kalb,41.9338342,-88.7056864
LAF,Purude University Airport,Lafayette,40.4123056,-86.9368889
OXD,Miami University Airport,Oxford,39.5022607,-84.7843814
MIE,Delaware County Airport,Muncie,40.2424722,-85.39575
1RL,Point Roberts Airpark,Point Roberts,48.9797222,-123.0788889
MQB,Macomb Municipal Airport,Macomb,40.5200833,-90.6523889
AUW,Wausau Downtown Airport,Wausau,44.9262845,-89.6270018
C47,Portage Municipal Airport,Portage,43.5603136,-89.4828607
IWD,Gogebic Iron County Airport,Ironwood,46.5274747,-90.1313967
MCD,Mackinac Island Airport,Mackinac Island,45.8649344,-84.637344
GRM,Grand Marais Cook County Airport,Grand Marais,47.8383333,-90.3829444
NPZ,Porter County Municipal Airport,Valparaiso,41.4539722,-87.0070833
MXY,McCarthy Airport,McCarthy,61.4370608,-142.9030737
SWD,Seward Airport,Seward,60.1269383,-149.4188122
MGC,Michigan City Municipal Airport,Michigan City,41.7033,-86.8211
AET,Allakaket Airport,Allakaket,66.5519,-152.6222
YAK,Yakutat,Yakutat,59.3012,-139.3937
MQT,Sawyer International Airport,Marquette,46.353611,-87.395278
IMT,Ford Airport,Iron Mountain,45.8183611,-88.1145556
ESC,Delta County Airport,Escanaba,45.722778,-87.093611
MWA,Williamson Country Regional Airport,Marion,37.7549569,-89.0110936
BTI,Barter Island Lrrs,Barter Island,70.133989,-143.581867
K03,Wainwright As,Fort Wainwright,70.613378,-159.86035
LUR,Cape Lisburne Lrrs,Cape Lisburne,68.875133,-166.110022
PIZ,Point Lay Lrrs,Point Lay,69.732875,-163.005342
ITO,Hilo Intl,Hilo,19.721375,-155.048469
ORL,Executive,Orlando,28.545464,-81.332936
BTT,Bettles,Bettles,66.913944,-151.529056
Z84,Clear,Clear Mews,64.301203,-149.120144
UTO,Indian Mountain Lrrs,Indian Mountains,65.992794,-153.704289
FYU,Fort Yukon,Fort Yukon,66.571492,-145.250417
SVW,Sparrevohn Lrrs,Sparrevohn,61.097369,-155.574228
FRN,Bryant Ahp,Fort Richardson,61.266381,-149.653119
TLJ,Tatalina Lrrs,Tatalina,62.894369,-155.976525
CZF,Cape Romanzof Lrrs,Cape Romanzof,61.780297,-166.038747
BED,Laurence G Hanscom Fld,Bedford,42.469953,-71.289031
SNP,St Paul Island,St. Paul Island,57.167333,-170.220444
EHM,Cape Newenham Lrrs,Cape Newenham,58.646428,-162.062778
PBV,St George,Point Barrow,56.578344,-169.661611
ILI,Iliamna,Iliamna,59.754356,-154.910961
PTU,Platinum,Port Moller,59.011356,-161.819664
BMX,Big Mountain Afs,Big Mountain,59.361247,-155.258822
OSC,Oscoda Wurtsmith,Oscoda,44.451558,-83.394053
OAR,Marina Muni,Fort Ord,36.681878,-121.762347
MHR,Sacramento Mather,Sacramento,38.553897,-121.297592
BYS,Bicycle Lake Aaf,Fort Irwin,35.280531,-116.630031
NXP,Twentynine Palms Eaf,Twenty Nine Palms,34.296161,-116.162203
FSM,Fort Smith Rgnl,Fort Smith,35.336583,-94.367444
MRI,Merrill Fld,Anchorage,61.213544,-149.844447
GNT,Grants Milan Muni,Grants,35.167286,-107.901989
PNC,Ponca City Rgnl,Ponca City,36.731958,-97.099781
SVN,Hunter Aaf,Hunter Aaf,32.01,-81.145683
GFK,Grand Forks Intl,Grand Forks,47.949256,-97.176111
PBF,Grider Fld,Pine Bluff,34.173142,-91.935597
NSE,Whiting Fld Nas North,Milton,30.724167,-87.021944
HNM,Hana,Hana,20.795636,-156.014439
PRC,Ernest A Love Fld,Prescott,34.654472,-112.419583
TTN,Trenton Mercer,Trenton,40.276692,-74.813469
